Presence 1,Presence 2,Was medicine effective?
0.0,6819.24,1
0.0,5820.31,1
0.01291,5808.4,1
0.0,7480.07,1
0.03471,5693.49,0
0.06229,6894.61,0
0.0,7016.49,1
0.0,4623.72,1
0.00933,6381.09,1
0.01414,4592.0,1
0.0,5382.34,1
0.02594,5210.81,0
0.03372,6411.97,0
0.06441,7082.36,0
0.0,7224.51,1
0.00262,4791.24,1
0.0,6255.73,1
0.0,5531.66,1
0.00704,7528.9,1
0.00719,7262.22,1
0.04502,6671.86,0
0.02977,5191.09,0
0.026,5577.33,0
0.03373,6608.9,0
0.02126,7228.69,0
0.01143,5056.03,0
0.0,6206.24,1
0.00646,6926.66,1
0.00041,6711.27,1
0.01363,4875.9,1
0.03604,4584.47,0
0.01018,5076.92,1
0.0342,5366.35,0
0.00652,4930.65,1
0.06283,7137.58,0
0.0056,7062.41,1
0.01082,6536.7,1
0.0,6371.11,1
0.04526,6185.15,0
0.0,5509.35,1
0.0,6274.9,1
0.00846,6330.39,0
0.0,7191.82,1
0.0,5292.41,1
0.0,5239.06,1
0.0,7674.25,1
0.06103,5891.71,0
0.0,6424.06,1
0.0,5125.3,1
0.00205,6947.83,1
0.0,6940.22,1
0.00581,6349.79,0
0.0595,7247.24,0
0.02669,4822.75,0
0.0,5095.41,1
0.01654,5914.76,1
0.00776,5901.92,1
0.0,7802.32,1
0.0,5242.06,1
0.00561,7167.18,1
0.01906,6673.35,0
0.0,5307.2,1
0.04193,5698.34,0
0.01758,8039.39,0
0.0,6833.06,1
0.03606,4519.92,0
0.0,4493.01,1
0.0,7855.57,1
0.03188,6915.26,0
0.00527,6676.47,1
0.03917,6247.03,0
0.00647,6484.68,1
0.06106,6192.14,0
0.0,4622.0,1
0.0,7881.46,1
0.00862,5470.65,1
0.00198,7495.69,1
0.03539,6253.96,0
0.01614,5804.75,1
0.02494,6235.16,0
0.0,5765.06,1
0.01012,5617.78,1
0.0,5828.36,0
0.03753,7089.4,0
0.00234,6550.34,1
0.0,5422.3,1
0.0,5579.3,1
0.05527,4750.38,0
0.04457,7947.66,0
0.01225,7324.51,0
0.00411,5245.58,1
0.00458,5359.53,1
0.0,6096.21,1
0.0,7168.32,1
0.0034,6569.51,1
0.0,4295.58,1
0.00151,5521.35,1
0.0,5670.02,1
0.00776,7967.21,1
0.04584,5865.55,0
0.02724,5974.47,0
0.0,6123.56,1
0.0,7159.25,1
0.0,7341.73,1
0.00206,6768.21,1
0.0,7019.67,1
0.0,4490.25,1
0.00333,7229.65,1
0.0,5863.91,1
0.02104,6812.46,0
0.01214,6683.61,0
0.0,8269.21,1
0.00641,6583.89,1
0.02001,6836.93,0
0.06146,6421.46,0
0.03156,6241.14,0
0.0,6738.38,1
0.0,7186.58,1
0.01044,5826.87,1
0.0,4979.09,0
0.0291,7302.42,0
0.0,5689.93,1
0.02003,7201.65,0
0.02074,6208.6,0
0.0,6048.77,1
0.02925,5319.03,0
0.03285,7210.98,0
0.00015,6646.42,1
0.01403,7031.29,0
0.02241,5145.9,0
0.0,7513.0,1
0.0,5211.84,0
0.00798,5032.91,0
0.05921,8237.96,0
0.01309,5962.83,1
0.03227,7823.89,0
0.0,6092.66,1
0.01149,5635.52,1
0.03825,5949.96,0
0.0,6385.24,1
0.0,7230.11,1
0.0,6142.04,1
0.0,4994.0,0
0.02926,5214.96,0
0.0,5061.21,1
0.00576,7108.91,1
0.0,5277.28,1
0.0071,8648.28,1
0.0,7815.51,1
0.0,7741.53,1
0.01603,4718.77,1
0.00899,5825.38,1
0.03541,5731.68,0
0.0,6936.83,1
0.0,6247.33,1
0.0,6455.65,1
0.00087,5350.4,1
0.02416,6722.55,0
0.0,5679.67,1
0.0,6751.75,1
0.02732,5855.07,0
0.01334,5580.85,1
0.00897,5553.39,1
0.00175,8113.01,1
0.05228,5900.48,0
0.0,6944.74,1
0.0,4974.59,1
0.02336,4852.47,0
0.0264,5050.8,0
0.08885,6552.34,0
0.0,5713.76,1
0.0,5554.68,0
0.0,6032.85,1
0.0,5899.67,1
0.01194,6720.32,1
0.00646,4815.94,1
0.02829,5125.12,0
0.0,7433.03,1
0.0,5958.74,0
0.02909,5792.58,0
0.01466,5473.47,1
0.0,6780.42,1
0.0,5560.21,0
0.0,5842.54,1
0.00545,5911.72,1
0.0,6137.75,1
0.0,7198.37,1
0.08634,6643.43,0
0.02657,4142.79,0
0.01124,7013.12,0
0.0,8086.61,1
0.0,5565.29,1
0.0,6835.7,1
0.04028,6329.09,0
0.05202,6628.06,0
0.02142,6503.38,0
0.0,7249.92,1
0.00592,6827.94,1
0.0,7134.07,1
0.02014,6084.63,0
0.01639,7507.37,0
0.00453,5208.52,1
0.00188,6936.13,1
0.00038,6752.0,1
0.0,7950.84,1
0.09403,5369.8,0
0.0,6233.57,1
0.01304,7310.19,0
0.0,5258.86,1
0.05772,4833.2,0
0.01426,6327.76,0
0.00193,6465.57,1
0.00118,6186.82,1
0.00547,7610.6,1
0.00772,7174.36,0
0.01793,4844.28,1
0.07661,5172.26,0
0.0,5168.04,1
0.06533,7747.92,0
0.0,6319.47,0
0.0143,5965.35,1
0.0,7108.48,1
0.0,7733.52,1
0.02112,5777.8,0
0.00466,6376.34,1
0.00546,8173.58,1
0.02671,7961.6,0
0.0,6586.06,1
0.00867,6495.95,1
0.02488,6345.24,0
0.0,6510.68,1
0.02827,6148.12,0
0.0,7139.55,1
0.0,5747.16,1
0.0259,5105.12,0
0.01145,6809.54,0
0.0,8011.05,1
0.00167,5158.34,1
0.00182,6229.45,1
0.0,5498.41,1
0.0191,7383.37,0
0.00063,7040.64,1
0.00562,5729.28,1
0.0402,6305.79,0
0.01989,6209.19,0
0.04067,6735.37,0
0.05426,7213.41,0
0.0,6210.2,1
0.0,5312.59,1
0.0314,7758.35,0
0.0,5960.13,1
0.00144,6696.48,1
0.09028,6379.29,0
0.01169,7208.22,1
0.03061,6705.58,0
0.0,5731.22,1
0.03075,6098.63,0
0.06667,5991.22,0
0.03199,5520.32,0
0.0,6864.8,1
0.05994,4553.73,0
0.00585,4954.24,1
0.0,6471.6,0
0.00605,8048.82,1
0.0,6133.95,1
0.06753,5868.66,0
0.0,5862.35,1
0.07208,6965.81,0
0.01705,5578.33,1
0.0021,6397.5,1
0.0,8045.62,1
0.0243,6194.59,0
0.02478,7026.34,0
0.00359,6215.07,0
0.0,7461.63,1
0.0,6801.49,1
0.0,6218.85,1
0.02493,5937.5,0
0.01961,6125.9,0
0.0,6712.17,1
0.04118,6094.26,0
0.0,6424.58,1
0.0,7425.98,1
0.00037,5107.34,1
0.04096,6219.2,0
0.03018,7396.09,0
0.02011,6589.33,0
0.00262,5218.4,1
0.02051,6442.74,0
0.07144,6321.81,0
0.0,5744.75,1
0.0421,6327.34,0
0.0271,6492.51,0
0.03822,7649.18,0
0.0,4015.45,1
0.0,5545.94,1
0.03025,6610.69,0
0.03004,6379.47,0
0.02788,7270.28,0
0.0,5751.07,1
0.0,7115.58,1
0.0,7036.87,1
0.02166,5185.05,0
0.02826,5576.36,0
0.01374,7031.33,0
0.0,5583.96,1
0.0,4296.11,1
0.02536,6248.64,0
0.02791,5949.0,0
0.0,6140.69,1
0.0,7337.2,1
0.0386,5413.25,0
0.02179,6404.16,0
0.03115,5123.63,0
0.00685,6939.92,1
0.0,6051.6,1
0.0,6580.15,1
0.01439,6890.59,0
0.0,6202.86,0
0.02326,5105.76,0
0.0,6561.93,1
0.0,5583.41,1
0.0,5556.62,1
0.03008,7510.24,0
0.0,5912.75,1
0.02084,5536.59,0
0.05371,5903.17,0
0.00472,7466.14,1
0.01083,5436.09,0
0.04721,6303.45,0
0.04755,7343.11,0
0.0244,8304.47,0
0.03261,6312.2,0
0.05325,6981.75,0
0.02402,6453.38,0
0.0,5441.08,1
0.00093,7289.83,1
0.05233,5324.72,0
0.00874,6124.78,0
0.0,5189.61,1
0.02622,6049.5,0
0.02151,4776.18,1
0.05865,6737.07,0
0.00814,4804.95,1
0.02493,6311.66,0
0.02909,6118.98,0
0.0,8277.74,1
0.03805,4897.29,0
0.04271,6517.74,0
0.00204,6260.83,1
0.04032,5579.16,0
0.0,6743.33,1
0.02425,6572.55,0
0.02234,5764.4,1
0.01349,5804.66,1
0.0,4509.09,1
0.0,6075.94,1
0.0,5787.29,1
0.0,5532.07,1
0.0,6706.91,1
0.0,5230.28,1
0.06192,5748.29,0
0.02803,6376.83,0
0.00044,5919.65,1
0.0,6527.78,1
0.01564,6327.21,1
0.08068,5997.41,0
0.00455,6375.27,0
0.02709,5791.96,0
0.0,6991.44,1
0.04952,6866.4,0
0.05795,6425.45,0
0.0,4230.13,1
0.0532,6098.3,0
0.0,6806.93,1
0.0,6571.09,1
0.02756,6101.39,0
0.04424,6932.75,0
0.0,6009.05,1
0.02255,5699.44,0
0.0,5102.57,1
0.00325,5824.28,1
0.02166,7447.13,0
0.0,6184.66,1
0.05127,5522.14,0
0.01838,6001.7,0
0.0166,6640.96,0
