pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_eqt,st_teff,st_mass,sy_dist
55 Cnc e,0.7365437,0.01544,2.08,7.81,0.061,1958,5234,0.91,12.5855
AU Mic b,8.463,0.0645,4.07,17,0,593,3700,0.5,9.7221
AU Mic c,18.859019,0.1101,3.24,13.6,0,454,3700,0.5,9.7221
BD+20 594 b,41.6855,0.241,2.23,16.3,0,546,5766,0.96,179.461
CoRoT-10 b,13.2406,0.1055,10.87,874,0.53,600,5075,0.89,338.386
CoRoT-11 b,2.99433,0.0436,16.03,740.51,0,1657,6440,1.27,655.037
CoRoT-12 b,2.828042,0.04016,16.14,291.438,0.07,1442,5675,1.08,1126.37
CoRoT-13 b,4.03519,0.051,9.92,415.704,0,1700,5945,1.09,1148.93
CoRoT-14 b,1.51214,0.027,12.22,2415.4,0,1952,6035,1.13,1744.6
CoRoT-17 b,3.7681,0.0461,11.43,772.29,0,1626,5740,1.04,1176.12
CoRoT-18 b,1.9000693,0.0295,14.68,1102.82,0.08,1550,5440,0.95,764.889
CoRoT-19 b,3.89713,0.0518,14.46,352.78,0.047,2000,6090,1.21,790.663
CoRoT-20 b,9.24285,0.0902,9.42,1347.54,0.562,1002,5880,1.14,844.061
CoRoT-22 b,9.75598,0.092,4.88,12.2,0.077,885,5939,1.1,627.158
CoRoT-23 b,3.6313,0.048,11.77,889.9,0.16,1660,5900,1.14,1060.97
CoRoT-24 b,5.1134,0.056,3.7,5.7,0,1070,4950,0.91,591.555
CoRoT-24 c,11.759,0.098,5,28,0,850,4950,0.91,591.555
CoRoT-25 b,4.86069,0.0578,12.11,85.81,0,1330,6040,1.09,1103.48
CoRoT-26 b,4.20474,0.0526,14.12,165.26,0,1600,5590,1.09,1045.18
CoRoT-27 b,3.57532,0.0476,11.287,3302.11,0.065,1500,5900,1.05,1010.28
CoRoT-35 b,3.22748,0.0429,18.831,349.61125,0,1747,6390,1.01,1123.21
CoRoT-36 b,5.616531,0.066,15.805,216.12332,0,1567,6730,1.32,925.958
CoRoT-4 b,9.20205,0.09,13.34,228.83,0,1074,6190,1.16,726.412
CoRoT-5 b,4.0378962,0.04947,15.558,148.42,0.09,1438,6100,1,882.472
CoRoT-6 b,8.886593,0.0855,13.068,940.74,0.1,1017,6090,1.05,645.294
CoRoT-7 b,0.85359159,0.017016,1.585,5.74,0,1756,5259,0.91,159.906
CoRoT-9 b,95.272656,0.4021,11.949,266.9772,0.133,420,5625,0.96,412.98
EPIC 211945201 b,19.49213,0.148,6.12,27,0,886,6025,1.18,181.69
EPIC 220674823 b,0.571292,0.0116,1.52,8.36,0,2333,5470,0.94,244.59
EPIC 220674823 c,13.3397,0.105,2.5,5.8,0.18,774,5470,0.94,244.59
EPIC 248847494 b,3650,4.5,12.442,4131.79,0,183,4898,0.9,551.886
EPIC 249893012 b,3.5951,0.047,1.95,8.75,0.06,1616,5430,1.05,321.296
EPIC 249893012 c,15.624,0.13,3.67,14.67,0.07,990,5430,1.05,321.296
EPIC 249893012 d,35.747,0.22,3.94,10.18,0.15,752,5430,1.05,321.296
G 9-40 b,5.746007,0.0385,2.025,11.7,0,456,3348,0.29,27.9276
GJ 1132 b,1.628931,0.0153,1.13,1.66,0.22,529,3270,0.18,12.613
GJ 1214 b,1.58040433,0.0149,2.742,8.17,0.063,596,3250,0.18,14.6427
GJ 1252 b,0.5182349,0.00916,1.193,2.09,0,1089,3458,0.38,20.373
GJ 143 b,35.61253,0.1915,2.61,22.7,0.188,422,4640,0.73,16.32
GJ 3090 b,2.853136,0.03165,2.13,3.34,0.32,693,3556,0.52,22.4751
GJ 3470 b,3.33714,0.0348,4.2,14,0.051,615,3600,0.54,29.4214
GJ 3470 b,3.3366487,0.031,3.88,13.73,0.017,604,3652,0.51,29.4214
GJ 3473 b,1.1980035,0.01589,1.264,1.86,0,773,3347,0.36,27.3644
GJ 367 b,0.321962,0.0071,0.718,0.546,0,1745,3522,0.45,9.41263
GJ 3929 b,2.616235,0.0252,1.09,1.75,0,568,3384,0.31,15.8095
