	U1 		 U2 		 U3
1. 0.020757 0.103785 1.03097e-05 
2. 0.352869 0.820757 0.0121318 
3. 0.998168 0.755922 0.28225 
4. 0.966911 0.245543 0.850681 
5. 0.435531 0.868742 0.547522 
6. 0.403175 0.834188 0.765969 
7. 0.853236 0.897436 0.730861 
8. 0.503297 0.272772 0.460967 
9. 0.555067 0.182784 0.208291 
10. 0.435043 0.534799 0.345714 
11. 0.394872 0.452381 0.674989 
12. 0.712088 0.447741 0.986911 
13. 0.104029 0.0533578 0.879693 
14. 0.768376 0.534921 0.979709 
15. 0.0608059 0.462759 0.318271 
16. 0.0335775 0.329792 0.671221 
17. 0.570818 0.0289377 0.0863124 
18. 0.702808 0.459463 0.474583 
19. 0.946398 0.0495726 0.595613 
20. 0.0868132 0.213187 0.216423 
21. 0.475702 0.118681 0.497946 
22. 0.0859585 0.0866911 0.833973 
23. 0.461172 0.367888 0.0890158 
24. 0.839072 0.266667 0.980204 
25. 0.262515 0.66398 0.244057 
26. 0.462271 0.431502 0.884196 
27. 0.857753 0.67326 0.885076 
28. 0.580098 0.220147 0.36751 
29. 0.860562 0.710256 0.89575 
30. 0.627839 0.364469 0.740959 
31. 0.672039 0.97619 0.192033 
32. 0.423321 0.966178 0.337721 
33. 0.195604 0.11514 0.543447 
34. 0.324908 0.785836 0.621454 
35. 0.522833 0.788034 0.750179 
36. 0.887179 0.974847 0.638714 
37. 0.0802198 0.852015 0.09435 
38. 0.363614 0.412454 0.0163614 
39. 0.180708 0.0543346 0.858539 
40. 0.0716728 0.617949 0.356448 
41. 0.218315 0.519292 0.44331 
42. 0.710989 0.134432 0.213924 
43. 0.085348 0.425397 0.951301 
44. 0.450794 0.154335 0.800775 
45. 0.662637 0.11685 0.760651 
46. 0.263492 0.931136 0.980413 
47. 0.478877 0.136874 0.862035 
48. 0.139927 0.632967 0.759141 
49. 0.37851 0.795726 0.326496 
50. 0.433944 0.628571 0.426243 
51. 0.37619 0.4221 0.404012 
52. 0.394505 0.874237 0.109668 
53. 0.705861 0.301099 0.297681 
54. 0.998291 0.590354 0.467097 
55. 0.968987 0.173993 0.452618 
56. 0.470818 0.787668 0.394554 
57. 0.0029304 0.943712 0.622884 
58. 0.0498168 0.205739 0.722024 
59. 0.846886 0.485714 0.204893 
60. 0.39536 0.280708 0.903016 
61. 0.720391 0.857387 0.683451 
62. 0.245177 0.869109 0.479556 
63. 0.167521 0.865324 0.487776 
64. 0.847619 0.54359 0.257282 
65. 0.407814 0.199512 0.211901 
66. 0.932112 0.956532 0.234271 
67. 0.844078 0.29536 0.20245 
68. 0.347619 0.102564 0.201754 
69. 0.908913 0.716972 0.143858 
70. 0.449695 0.935287 0.51638 
71. 0.643956 0.489744 0.912194 
72. 0.946032 0.623199 0.409751 
73. 0.0805861 0.965568 0.356276 
74. 0.369841 0.0632479 0.82949 
75. 0.286569 0.375458 0.0610704 
76. 0.871184 0.910134 0.892886 
77. 0.808425 0.352015 0.348198 
78. 0.741636 0.917705 0.842152 
79. 0.606349 0.995482 0.0770591 
80. 0.306716 0.605739 0.038047 
81. 0.213553 0.481563 0.14429 
82. 0.630037 0.927961 0.699711 
83. 0.709402 0.867155 0.404358 
84. 0.0583639 0.699267 0.558672 
85. 0.992186 0.430525 0.51767 
86. 0.865201 0.590232 0.518876 
87. 0.706716 0.163614 0.479735 
88. 0.0126984 0.905617 0.411548 
89. 0.215873 0.968132 0.59434 
90. 0.669475 0.281197 0.39823 
91. 0.379731 0.898901 0.473879 
92. 0.454701 0.397314 0.617169 
93. 0.72906 0.767643 0.493573 
94. 0.392552 0.241758 0.99282 
95. 0.67265 0.547009 0.163211 
96. 0.4337 0.49011 0.924676 
97. 0.372039 0.654335 0.5672 
98. 0.323932 0.611722 0.711491 
99. 0.506227 0.99011 0.125305 
100. 0.604884 0.149084 0.866329 
101. 0.281807 0.670696 0.360922 
102. 0.790232 0.0021978 0.687928 
103. 0.432357 0.186813 0.325414 
104. 0.349206 0.877289 0.0670597 
105. 0.935897 0.560562 0.934661 
106. 0.908425 0.642002 0.077963 
107. 0.441392 0.563614 0.34276 
108. 0.502808 0.901465 0.117807 
109. 0.546764 0.615263 0.916424 
110. 0.293895 0.290965 0.339232 
111. 0.995726 0.72906 0.804199 
112. 0.925397 0.962637 0.014767 
113. 0.729915 0.814286 0.840411 
114. 0.407082 0.205861 0.376852 
115. 0.919658 0.496093 0.850895 
116. 0.632357 0.162759 0.45549 
117. 0.74884 0.832967 0.865988 
118. 0.728816 0.793651 0.8943 
119. 0.3884 0.452137 0.846051 
120. 0.602076 0.426984 0.937361 
121. 0.234066 0.289255 0.38425 
